country,Year,biomass_relative_to
Chilipepper Southern Pacific Coast,1907,2.407.801
China rockfish Central Pacific Coast,1907,2.503.846
China rockfish Northern Pacific Coast,1907,2.5
China rockfish Southern Pacific Coast,1907,2.477.444
Cowcod Southern California,1907,2.419.355
Dredge oyster Foveax Strait,1907,2.5
English sole Pacific Coast,1907,5.409.133
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1907,0
King mackerel Southern Atlantic coast,1907,4.6651
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1907,2.433.066
New Zealand snapper New Zealand SNA 1 east Northland,1907,2.443.122
Orange roughy New Zealand Mid East Coast,1907,286.015
Pacific halibut North Pacific,1907,0
Petrale sole Pacific Coast,1907,3.823.635
Red snapper Gulf of Mexico,1907,1.617.188
Rex sole Pacific Coast,1907,0
Sablefish Pacific Coast,1907,2.390.081
Sharpchin rockfish Pacific Coast,1907,0
Shortspine thornyhead Pacific Coast,1907,2.503.096
Spanish mackerel Gulf of Mexico,1907,3.772.125
Splitnose rockfish Pacific Coast,1907,3.106.796
Spurdog Northeast Atlantic,1907,1.710.619
Yellowtail rockfish Northern Pacific Coast,1907,0
American lobster Lobster Fishing Area 34,1908,0
American lobster Lobster Fishing Areas 35-38,1908,0
American lobster Southern Gulf of St. Lawrence,1908,0
Atlantic halibut Gulf of Maine / Georges Bank,1908,8.102
Black rockfish Oregon Coast,1908,2.491.784
Canary rockfish Pacific Coast,1908,2.499.666
Chilipepper Southern Pacific Coast,1908,2.400.709
China rockfish Central Pacific Coast,1908,2.503.846
China rockfish Northern Pacific Coast,1908,2.5
China rockfish Southern Pacific Coast,1908,2.466.165
Common sole ICES 7bc,1908,0
Cowcod Southern California,1908,2.387.097
Dredge oyster Foveax Strait,1908,2.5
English sole Pacific Coast,1908,5.393.809
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1908,0
European plaice ICES 7bc,1908,0
King mackerel Southern Atlantic coast,1908,4.659.224
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1908,2.416.737
New Zealand snapper New Zealand SNA 1 east Northland,1908,2.432.622
Orange roughy New Zealand Mid East Coast,1908,286.015
Pacific halibut North Pacific,1908,0
Petrale sole Pacific Coast,1908,3.823.635
Red snapper Gulf of Mexico,1908,1.601.563
Rex sole Pacific Coast,1908,0
Sablefish Pacific Coast,1908,2.390.081
Sharpchin rockfish Pacific Coast,1908,0
Shortspine thornyhead Pacific Coast,1908,2.503.096
Spanish mackerel Gulf of Mexico,1908,3.762.453
Splitnose rockfish Pacific Coast,1908,3.106.796
Spurdog Northeast Atlantic,1908,1.700.252
Yellowtail rockfish Northern Pacific Coast,1908,0
American lobster Lobster Fishing Area 34,1909,0
American lobster Lobster Fishing Areas 35-38,1909,0
American lobster Southern Gulf of St. Lawrence,1909,0
Atlantic halibut Gulf of Maine / Georges Bank,1909,71.224
Black rockfish Oregon Coast,1909,2.491.784
Canary rockfish Pacific Coast,1909,2.499.666
Chilipepper Southern Pacific Coast,1909,2.397.163
China rockfish Central Pacific Coast,1909,2.503.846
China rockfish Northern Pacific Coast,1909,2.5
China rockfish Southern Pacific Coast,1909,2.458.647
Common sole ICES 7bc,1909,0
Cowcod Southern California,1909,2.370.968
Dredge oyster Foveax Strait,1909,2.49
English sole Pacific Coast,1909,5.363.163
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1909,0
European plaice ICES 7bc,1909,0
King mackerel Southern Atlantic coast,1909,4.653.349
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1909,2.400.408
New Zealand snapper New Zealand SNA 1 east Northland,1909,2.422.121
Orange roughy New Zealand Mid East Coast,1909,2.863.158
Pacific halibut North Pacific,1909,0
Petrale sole Pacific Coast,1909,3.811.686
Red snapper Gulf of Mexico,1909,1.585.938
Rex sole Pacific Coast,1909,0
Sablefish Pacific Coast,1909,2.373.483
Sharpchin rockfish Pacific Coast,1909,0
Shortspine thornyhead Pacific Coast,1909,2.503.096
Spanish mackerel Gulf of Mexico,1909,3.762.453
Splitnose rockfish Pacific Coast,1909,3.106.796
